Task,Level,sessions,ACC,Subj.num
NBack,2,4,1,S028
NBack,2,5,0.99,S028
NBack,2,6,0.93,S028
NBack,3,7,0.72,S028
NBack,3,8,0.91,S028
NBack,3,9,0.83,S028
NBack,3,10,0.9,S028
NBack,3,11,0.8,S028
NBack,4,12,,S028
NBack,4,13,0.89,S028
NBack,4,14,0.88,S028
NBack,4,15,0.84,S028
NBack,5,16,0.95,S028
NBack,5,17,0.93,S028
Switching,1,1,1,S028
Switching,1,2,1,S028
Switching,2,3,0.81,S028
Switching,2,4,0.83,S028
Switching,2,5,0.79,S028
Switching,2,6,0.8,S028
Switching,3,7,0.87,S028
Switching,3,8,0.96,S028
Switching,3,9,0.92,S028
Switching,3,10,0.95,S028
Switching,4,11,0.91,S028
Switching,4,12,0.97,S028
Switching,4,13,0.95,S028
Switching,5,14,0.91,S028
Switching,5,15,0.91,S028
Switching,5,16,0.89,S028
Inhibition,1,1,1,S028
Inhibition,1,2,1,S028
Inhibition,2,3,0.96,S028
Inhibition,2,4,1,S028
Inhibition,3,5,0.98,S028
Inhibition,3,6,0.97,S028
Inhibition,3,7,0.99,S028
Inhibition,4,8,0.88,S028
Inhibition,4,9,0.97,S028
Inhibition,4,10,,S028
Inhibition,5,11,0.93,S028
Inhibition,5,12,0.96,S028
Inhibition,5,13,0.96,S028
Inhibition,6,14,0.82,S028
Inhibition,6,15,0.84,S028
Inhibition,,16,,S028
NBack,1,1,1,S030
NBack,1,2,1,S030
NBack,1,3,0.96,S030
NBack,2,4,0.92,S030
NBack,2,5,0.91,S030
NBack,2,6,0.96,S030
NBack,3,7,0.62,S030
NBack,3,8,0.74,S030
NBack,3,9,0.69,S030
NBack,3,10,0.8,S030
NBack,3,11,0.71,S030
NBack,3,12,0.68,S030
NBack,3,13,0.63,S030
NBack,3,14,0.63,S030
NBack,3,15,0.68,S030
NBack,3,16,0.68,S030
NBack,3,17,0.73,S030
Switching,1,1,0.97,S030
Switching,1,2,0.97,S030
Switching,2,3,0.53,S030
Switching,2,4,0.69,S030
Switching,2,5,0.7,S030
Switching,2,6,0.69,S030
Switching,2,7,0.64,S030
Switching,2,8,0.71,S030
Switching,2,9,0.84,S030
Switching,2,10,0.74,S030
Switching,2,11,0.91,S030
Switching,3,12,0.86,S030
Switching,3,13,0.93,S030
Switching,3,14,0.93,S030
Switching,4,15,0.93,S030
Switching,4,16,0.91,S030
Inhibition,1,1,0.99,S030
Inhibition,1,2,1,S030
Inhibition,2,3,1,S030
Inhibition,2,4,0.99,S030
Inhibition,3,5,0.99,S030
Inhibition,3,6,0.97,S030
Inhibition,3,7,0.98,S030
Inhibition,4,8,0.94,S030
Inhibition,4,9,0.82,S030
Inhibition,4,10,0.93,S030
Inhibition,5,11,0.78,S030
Inhibition,5,12,0.87,S030
Inhibition,5,13,0.79,S030
Inhibition,6,14,0.29,S030
Inhibition,6,15,0.35,S030
Inhibition,,16,,S030
NBack,1,1,1,S055
NBack,1,2,1,S055
NBack,1,3,1,S055
NBack,2,4,0.99,S055
NBack,2,5,1,S055
NBack,2,6,,S055
NBack,2,7,,S055
NBack,2,8,,S055
NBack,3,9,0.89,S055
NBack,4,10,0.79,S055
NBack,4,11,0.91,S055
NBack,4,12,0.95,S055
NBack,5,13,0.87,S055
NBack,5,14,0.91,S055
NBack,5,15,0.87,S055
NBack,6,16,0.86,S055
NBack,,17,,S055
Switching,1,1,0.91,S055
Switching,1,2,1,S055
Switching,1,3,1,S055
Switching,2,4,0.9,S055
Switching,2,5,,S055
Switching,2,6,,S055
Switching,2,7,,S055
Switching,2,8,0.83,S055
Switching,3,9,0.93,S055
Switching,3,10,0.94,S055
Switching,3,11,0.93,S055
Switching,4,12,0.91,S055
Switching,4,13,0.96,S055
Switching,4,14,0.95,S055
Switching,4,15,0.9,S055
Switching,,16,,S055
Inhibition,1,1,1,S055
Inhibition,1,2,1,S055
Inhibition,1,3,1,S055
Inhibition,2,4,1,S055
Inhibition,2,5,1,S055
Inhibition,2,6,,S055
Inhibition,2,7,,S055
Inhibition,3,8,0.98,S055
Inhibition,3,9,0.94,S055
Inhibition,4,10,0.97,S055
Inhibition,4,11,0.98,S055
Inhibition,4,12,1,S055
Inhibition,5,13,0.96,S055
Inhibition,5,14,0.96,S055
Inhibition,5,15,0.95,S055
Inhibition,,16,,S055
NBack,1,1,1,S055
NBack,1,2,1,S055
NBack,1,3,1,S055
NBack,2,4,0.98,S055
NBack,2,5,1,S055
NBack,2,6,1,S055
NBack,3,7,0.85,S055
NBack,3,8,0.84,S055
NBack,3,9,0.88,S055
NBack,4,10,0.87,S055
NBack,4,11,0.91,S055
NBack,4,12,0.9,S055
NBack,5,13,0.9,S055
NBack,5,14,0.93,S055
NBack,5,15,0.89,S055
NBack,6,16,0.89,S055
NBack,,17,,S055
Switching,1,1,0.99,S058
Switching,1,2,1,S058
Switching,1,3,1,S058
Switching,2,4,0.83,S058
Switching,2,5,0.86,S058
Switching,2,6,0.94,S058
Switching,3,7,0.9,S058
Switching,3,8,0.8,S058
Switching,3,9,0.93,S058
Switching,4,10,0.91,S058
Switching,4,11,0.95,S058
Switching,4,12,0.93,S058
Switching,5,13,0.83,S058
Switching,5,14,0.85,S058
Switching,5,15,0.9,S058
Switching,6,16,0.88,S058
Inhibition,1,1,1,S058
Inhibition,1,2,1,S058
Inhibition,1,3,0.99,S058
Inhibition,2,4,1,S058
Inhibition,2,5,1,S058
Inhibition,2,6,1,S058
Inhibition,3,7,0.96,S058
Inhibition,3,8,0.98,S058
Inhibition,3,9,1,S058
Inhibition,4,10,0.96,S058
Inhibition,4,11,0.96,S058
Inhibition,4,12,0.96,S058
Inhibition,5,13,0.82,S058
Inhibition,5,14,0.91,S058
Inhibition,5,15,0.85,S058
Inhibition,6,16,0.48,S058
NBack,1,1,1,S059
NBack,1,2,1,S059
NBack,1,3,1,S059
NBack,2,4,1,S059
NBack,2,5,1,S059
NBack,2,6,0.97,S059
NBack,2,7,,S059
NBack,2,8,0.83,S059
NBack,2,9,0.88,S059
NBack,3,10,0.93,S059
NBack,3,11,0.97,S059
NBack,3,12,0.96,S059
NBack,,13,,S059
NBack,,14,,S059
NBack,,15,,S059
NBack,,16,,S059
NBack,,17,,S059
Switching,1,1,1,S059
Switching,1,2,0.99,S059
Switching,1,3,0.99,S059
Switching,2,4,0.89,S059
Switching,2,5,0.91,S059
Switching,2,6,0.89,S059
Switching,3,7,0.87,S059
Switching,3,8,0.97,S059
Switching,3,9,0.94,S059
Switching,4,10,0.96,S059
Switching,4,11,0.94,S059
Switching,4,12,0.95,S059
Switching,,13,,S059
Switching,,14,,S059
Switching,,15,,S059
Switching,,16,,S059
Inhibition,1,1,1,S059
Inhibition,1,2,1,S059
Inhibition,1,3,1,S059
Inhibition,2,4,1,S059
Inhibition,2,5,1,S059
Inhibition,2,6,1,S059
Inhibition,2,7,,S059
Inhibition,3,8,0.99,S059
Inhibition,3,9,0.99,S059
Inhibition,4,10,1,S059
Inhibition,4,11,0.98,S059
Inhibition,4,12,0.99,S059
Inhibition,,13,,S059
Inhibition,,14,,S059
Inhibition,,15,,S059
Inhibition,,16,,S059
NBack,1,1,1,S061
NBack,1,2,1,S061
NBack,1,3,0.99,S061
NBack,2,4,0.97,S061
NBack,2,5,1,S061
NBack,2,6,1,S061
NBack,3,7,0.86,S061
NBack,3,8,0.85,S061
NBack,3,9,0.88,S061
NBack,4,10,,S061
NBack,4,11,0.91,S061
NBack,4,12,0.9,S061
NBack,4,13,0.94,S061
NBack,5,14,0.92,S061
NBack,5,15,0.92,S061
NBack,5,16,0.88,S061
NBack,,17,,S061
Switching,1,1,0.77,S061
Switching,1,2,1,S061
Switching,1,3,1,S061
Switching,2,4,0.8,S061
Switching,2,5,0.74,S061
Switching,2,6,0.8,S061
Switching,2,7,0.77,S061
Switching,2,8,,S061
Switching,2,9,,S061
Switching,2,10,0.7,S061
Switching,2,11,0.7,S061
Switching,2,12,0.79,S061
Switching,2,13,0.81,S061
Switching,2,14,0.84,S061
Switching,3,15,0.6,S061
Switching,3,16,0.76,S061
Inhibition,1,1,1,S061
Inhibition,1,2,1,S061
Inhibition,1,3,1,S061
Inhibition,2,4,0.99,S061
Inhibition,2,5,1,S061
Inhibition,2,6,1,S061
Inhibition,3,7,0.89,S061
Inhibition,3,8,,S061
Inhibition,3,9,0.93,S061
Inhibition,4,10,0.82,S061
Inhibition,4,11,0.82,S061
Inhibition,4,12,0.87,S061
Inhibition,5,13,0.66,S061
Inhibition,5,14,0.65,S061
Inhibition,5,15,0.74,S061
Inhibition,5,16,0.42,S061
NBack,1,1,1,S065
NBack,1,2,0.99,S065
NBack,1,3,1,S065
NBack,2,4,0.99,S065
NBack,2,5,0.84,S065
NBack,2,6,1,S065
NBack,3,7,0.82,S065
NBack,3,8,0.84,S065
NBack,3,9,0.83,S065
NBack,4,10,0.9,S065
NBack,4,11,,S065
NBack,4,12,,S065
NBack,4,13,,S065
NBack,4,14,,S065
NBack,4,15,0.8,S065
NBack,4,16,0.86,S065
NBack,,17,,S065
Switching,1,1,0.9,S065
Switching,1,2,0.99,S065
Switching,1,3,0.99,S065
Switching,2,4,0.74,S065
Switching,2,5,0.69,S065
Switching,2,6,0.67,S065
Switching,2,7,0.76,S065
Switching,2,8,0.77,S065
Switching,2,9,0.8,S065
Switching,2,10,0.73,S065
Switching,2,11,,S065
Switching,2,12,,S065
Switching,2,13,,S065
Switching,2,14,0.7,S065
Switching,2,15,0.83,S065
Switching,2,16,0.79,S065
Inhibition,1,1,1,S065
Inhibition,1,2,0.99,S065
Inhibition,1,3,1,S065
Inhibition,2,4,0.99,S065
Inhibition,2,5,1,S065
Inhibition,2,6,0.99,S065
Inhibition,3,7,1,S065
Inhibition,3,8,0.97,S065
Inhibition,3,9,0.99,S065
Inhibition,4,10,0.95,S065
Inhibition,4,11,,S065
Inhibition,4,12,,S065
Inhibition,4,13,,S065
Inhibition,4,14,0.95,S065
Inhibition,4,15,0.95,S065
Inhibition,5,16,0.82,S065
NBack,1,1,1,S067
NBack,1,2,1,S067
NBack,1,3,1,S067
NBack,2,4,1,S067
NBack,2,5,1,S067
NBack,2,6,1,S067
NBack,3,7,0.87,S067
NBack,3,8,0.84,S067
NBack,3,9,0.9,S067
NBack,4,10,0.85,S067
NBack,4,11,,S067
NBack,4,12,0.87,S067
NBack,4,13,0.86,S067
NBack,5,14,0.93,S067
NBack,5,15,0.94,S067
NBack,5,16,0.93,S067
NBack,,17,,S067
Switching,1,1,0.96,S067
Switching,1,2,0.99,S067
Switching,1,3,0.99,S067
Switching,2,4,0.71,S067
Switching,2,5,0.8,S067
Switching,2,6,0.83,S067
Switching,2,7,0.77,S067
Switching,2,8,0.8,S067
Switching,2,9,0.81,S067
Switching,2,10,0.79,S067
Switching,2,11,0.87,S067
Switching,3,12,0.59,S067
Switching,3,13,0.67,S067
Switching,3,14,0.86,S067
Switching,3,15,0.94,S067
Switching,3,16,0.9,S067
Inhibition,1,1,0.96,S067
Inhibition,1,2,1,S067
Inhibition,1,3,1,S067
Inhibition,2,4,1,S067
Inhibition,2,5,0.99,S067
Inhibition,2,6,0.97,S067
Inhibition,3,7,0.8,S067
Inhibition,3,8,0.87,S067
Inhibition,3,9,0.87,S067
Inhibition,4,10,0.8,S067
Inhibition,4,11,,S067
Inhibition,4,12,0.77,S067
Inhibition,4,13,0.85,S067
Inhibition,5,14,0.58,S067
Inhibition,5,15,0.76,S067
Inhibition,5,16,0.6,S067
NBack,1,1,1,S069
NBack,1,2,1,S069
NBack,1,3,1,S069
NBack,2,4,1,S069
NBack,2,5,1,S069
NBack,2,6,1,S069
NBack,3,7,0.84,S069
NBack,3,8,0.82,S069
NBack,3,9,0.86,S069
NBack,4,10,0.98,S069
NBack,4,11,0.97,S069
NBack,4,12,1,S069
NBack,5,13,0.91,S069
NBack,5,14,0.98,S069
NBack,5,15,0.87,S069
NBack,6,16,0.81,S069
NBack,,17,,S069
Switching,1,1,0.99,S069
Switching,1,2,1,S069
Switching,1,3,1,S069
Switching,2,4,0.81,S069
Switching,2,5,0.87,S069
Switching,2,6,,S069
Switching,3,7,0.84,S069
Switching,3,8,0.79,S069
Switching,3,9,0.91,S069
Switching,4,10,0.93,S069
Switching,4,11,0.89,S069
Switching,4,12,0.9,S069
Switching,5,13,0.81,S069
Switching,5,14,0.89,S069
Switching,5,15,0.82,S069
Switching,5,16,,S069
Inhibition,1,1,1,S069
Inhibition,1,2,1,S069
Inhibition,1,3,,S069
Inhibition,2,4,1,S069
Inhibition,2,5,1,S069
Inhibition,2,6,,S069
Inhibition,3,7,0.92,S069
Inhibition,3,8,0.94,S069
Inhibition,3,9,0.95,S069
Inhibition,4,10,0.85,S069
Inhibition,4,11,0.88,S069
Inhibition,4,12,0.93,S069
Inhibition,5,13,0.68,S069
Inhibition,5,14,0.67,S069
Inhibition,5,15,0.85,S069
Inhibition,,16,,S069
